date,uw129,pop129,gdp129,uw31,pop31,gdp31,uw412,pop412,gdp412
2020-01-29,100,100,100,26.66666667,77.36187806,49.62604668,0.001828003,0.008330064,0.00409203
2020-01-30,100,100,100,26.66666667,77.36187806,49.62604668,0.001828003,0.008330064,0.00409203
2020-01-31,125,108.4368244,119.2307721,33.33333333,83.88876385,59.16951862,0.002285004,0.009032857,0.004878959
2020-02-01,150,111.9549483,127.0111794,40,86.61045056,63.03062717,0.002742005,0.009325919,0.005197336
2020-02-02,75,34.49382126,51.12848453,20,26.68506794,25.3730456,0.001371002,0.002873357,0.002092193
2020-02-03,150,43.48037671,70.68256638,40,33.63723601,35.07696338,0.002742005,0.003621943,0.002892352
2020-02-04,150,43.48037671,70.68256638,40,33.63723601,35.07696338,0.002742005,0.003621943,0.002892352
2020-02-05,150,43.48037671,70.68256638,40,33.63723601,35.07696338,0.002742005,0.003621943,0.002892352
2020-02-06,150,43.48037671,70.68256638,40,33.63723601,35.07696338,0.002742005,0.003621943,0.002892352
2020-02-07,100,12.50467934,27.33448913,26.66666667,9.673854782,13.56502633,0.001828003,0.001041648,0.001118536
2020-02-08,75,8.986555448,19.55408184,20,6.952168067,9.703917782,0.001371002,0.000748586,0.000800159
2020-02-09,75,8.986555448,19.55408184,20,6.952168067,9.703917782,0.001371002,0.000748586,0.000800159
2020-02-10,0,0,0,0,0,0,0,0,0
2020-02-11,25,14.60947414,14.36117037,6.666666667,11.30216357,7.126881109,0.000457001,0.001216979,0.000587663
2020-02-12,25,14.60947414,14.36117037,6.666666667,11.30216357,7.126881109,0.000457001,0.001216979,0.000587663
2020-02-13,50,29.21894829,28.72234073,13.33333333,22.60432714,14.25376222,0.000914002,0.002433957,0.001175327
2020-02-14,50,29.21894829,28.72234073,13.33333333,22.60432714,14.25376222,0.000914002,0.002433957,0.001175327
2020-02-15,50,29.21894829,28.72234073,13.33333333,22.60432714,14.25376222,0.000914002,0.002433957,0.001175327
2020-02-16,50,29.21894829,28.72234073,13.33333333,22.60432714,14.25376222,0.000914002,0.002433957,0.001175327
2020-02-17,50,29.21894829,28.72234073,13.33333333,22.60432714,14.25376222,0.000914002,0.002433957,0.001175327
2020-02-18,25,14.60947414,14.36117037,6.666666667,11.30216357,7.126881109,0.000457001,0.001216979,0.000587663
2020-02-19,25,14.60947414,14.36117037,6.666666667,11.30216357,7.126881109,0.000457001,0.001216979,0.000587663
2020-02-20,0,0,0,0,0,0,0,0,0
2020-02-21,50,7.385483854,6.060303058,13.33333333,5.713549013,3.007488824,0.000914002,0.000615216,0.000247989
2020-02-22,50,7.385483854,6.060303058,13.33333333,5.713549013,3.007488824,0.000914002,0.000615216,0.000247989
2020-02-23,50,7.385483854,6.060303058,13.33333333,5.713549013,3.007488824,0.000914002,0.000615216,0.000247989
2020-02-24,50,7.385483854,6.060303058,13.33333333,5.713549013,3.007488824,0.000914002,0.000615216,0.000247989
2020-02-25,50,7.385483854,6.060303058,13.33333333,5.713549013,3.007488824,0.000914002,0.000615216,0.000247989
2020-02-26,50,7.385483854,6.060303058,13.33333333,5.713549013,3.007488824,0.000914002,0.000615216,0.000247989
2020-02-27,75,14.17772765,11.72119171,20,10.96815637,5.816764067,0.001371002,0.001181014,0.000479635
2020-02-28,25,6.792243793,5.660888648,6.666666667,5.25460736,2.809275243,0.000457001,0.000565798,0.000231645
2020-02-29,225,70.75352052,119.3103655,60,54.73625227,59.20901767,0.004113007,0.005893814,0.004882216
2020-03-01,375,129.2626323,201.5070849,100,100,100,0.006855012,0.01076766,0.008245731
2020-03-02,950,285.9059294,497.7686404,253.3333333,221.1821964,247.0228979,0.01736603,0.023816148,0.020368844
2020-03-03,1450,417.9953249,719.1781679,386.6666667,323.3690335,356.8996933,0.026506046,0.034819279,0.029428989
2020-03-04,2225,860.0760659,1260.412269,593.3333333,665.3709973,625.4927808,0.040673071,0.071644889,0.051576453
2020-03-05,3950,1513.41215,2291.546447,1053.333333,1170.804062,1137.203909,0.072206126,0.126068204,0.093770776
2020-03-06,5150,1844.198695,2934.890915,1373.333333,1426.706746,1456.470336,0.094142164,0.153622936,0.120096627
2020-03-07,7825,2439.562374,3773.547441,2086.666667,1887.291269,1872.662415,0.143041249,0.203217113,0.154414707
2020-03-08,10525,2941.603998,4476.397678,2806.666667,2275.680098,2221.459201,0.192397335,0.245037503,0.183175552
2020-03-09,11650,3072.971512,4722.466931,3106.666667,2377.308474,2343.573644,0.212962371,0.255980501,0.19324478
2020-03-10,15800,4173.326394,6309.925513,4213.333333,3228.563676,3131.36658,0.288824503,0.34764077,0.258204068
2020-03-11,25100,6254.753032,10081.51298,6693.333333,4838.794413,5003.05634,0.458828798,0.521024946,0.412538572
2020-03-12,33750,8096.43224,13620.1657,9000,6263.552037,6759.149787,0.616951073,0.674438008,0.557341315
