date,cases
2020-01-23,0
2020-01-24,1
2020-01-25,0
2020-01-26,3
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,1
2020-02-02,0
2020-02-03,3
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,2
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,0
2020-02-29,8
2020-03-01,6
2020-03-02,23
2020-03-03,20
2020-03-04,31
2020-03-05,70
2020-03-06,48
2020-03-07,115
2020-03-08,114
2020-03-09,68
2020-03-10,186
2020-03-11,403
2020-03-12,416
2020-03-13,522
2020-03-14,719
2020-03-15,203
2020-03-16,1361
2020-03-17,1730
2020-03-18,2778
2020-03-19,4710
2020-03-20,4724
2020-03-21,6817
2020-03-22,7788
2020-03-23,9593
2020-03-24,10209
2020-03-25,11475
2020-03-26,16459
2020-03-27,17904
2020-03-28,19065
2020-03-29,18150
2020-03-30,20216
2020-03-31,26401
2020-04-01,23864
2020-04-02,30015
2020-04-03,31742
2020-04-04,34236
2020-04-05,27704
2020-04-06,29360
2020-04-07,31692
2020-04-08,31874
2020-04-09,34861
2020-04-10,33544
2020-04-11,29291
2020-04-12,28196
2020-04-13,25040
2020-04-14,26121
2020-04-15,30333
2020-04-16,31300
2020-04-17,32516
2020-04-18,27985
2020-04-19,26213
2020-04-20,27306
2020-04-21,22492
2020-04-22,30149
2020-04-23,34240
2020-04-24,36496
2020-04-25,32390
2020-04-26,27245
2020-04-27,22390
2020-04-28,24748
2020-04-29,27500
2020-04-30,29943
2020-05-01,33521
2020-05-02,28561
2020-05-03,24909
2020-05-04,22560
2020-05-05,24115
2020-05-06,25418
2020-05-07,27321
2020-05-08,26846
2020-05-09,25617
2020-05-10,18967
2020-05-11,20265
2020-05-12,21335
2020-05-13,21244
2020-05-14,27029
2020-05-15,24919
2020-05-16,24274
2020-05-17,18418
2020-05-18,20518
2020-05-19,20316
2020-05-20,23819
2020-05-21,25119
2020-05-22,23786
2020-05-23,21370
2020-05-24,20327
2020-05-25,19242
2020-05-26,19151
2020-05-27,17953
2020-05-28,23226
2020-05-29,24028
2020-05-30,23449
2020-05-31,19281
2020-06-01,16759
2020-06-02,20287
2020-06-03,19905
2020-06-04,20558
2020-06-05,24646
2020-06-06,22032
2020-06-07,17180
2020-06-08,18198
2020-06-09,17792
2020-06-10,20616
2020-06-11,22686
2020-06-12,24988
2020-06-13,24851
2020-06-14,19034
2020-06-15,19777
2020-06-16,23563
2020-06-17,25545
2020-06-18,27448
2020-06-19,31575
2020-06-20,30918
2020-06-21,26011
2020-06-22,30820
2020-06-23,35046
2020-06-24,34770
2020-06-25,38429
2020-06-26,44721
2020-06-27,41804
2020-06-28,37506
2020-06-29,39534
2020-06-30,46811
2020-07-01,50256
2020-07-02,51033
