id,label,gdp,pop,Apr_2,May_2,Jun_2,Jul_2
1001,"Autauga, Alabama, US",1690937,55869,10,45,239,553
1003,"Baldwin, Alabama, US",6606080,223234,24,181,292,735
1007,"Bibb, Alabama, US",424510,22394,4,42,76,176
1009,"Blount, Alabama, US",942904,57826,6,40,63,218
1011,"Bullock, Alabama, US",256130,10101,2,14,213,364
1013,"Butler, Alabama, US",632592,19448,1,92,416,607
1015,"Calhoun, Alabama, US",4428092,113605,12,98,165,280
1017,"Chambers, Alabama, US",2218892,33254,67,294,358,600
1019,"Cherokee, Alabama, US",554189,26196,4,15,38,79
1021,"Chilton, Alabama, US",965008,44428,14,54,104,215
1023,"Choctaw, Alabama, US",620190,12589,4,49,153,192
1025,"Clarke, Alabama, US",902154,23622,2,38,148,268
1027,"Clay, Alabama, US",370148,13235,6,21,28,61
1029,"Cleburne, Alabama, US",314601,14910,6,12,15,30
1031,"Coffee, Alabama, US",1598712,52342,1,118,238,359
1033,"Colbert, Alabama, US",3066841,55241,5,37,187,377
1035,"Conecuh, Alabama, US",418296,12067,1,9,41,186
1037,"Coosa, Alabama, US",197978,10663,5,30,40,57
1039,"Covington, Alabama, US",1288409,37049,3,43,81,332
1041,"Crenshaw, Alabama, US",433890,13772,1,21,78,124
1043,"Cullman, Alabama, US",2810701,83768,9,57,150,411
1045,"Dale, Alabama, US",2807124,49172,1,28,123,262
1047,"Dallas, Alabama, US",1330950,37196,4,49,282,841
1049,"DeKalb, Alabama, US",1932838,71513,8,77,256,641
1051,"Elmore, Alabama, US",1902516,81209,17,93,373,836
1053,"Escambia, Alabama, US",1270995,36633,2,30,74,293
1055,"Etowah, Alabama, US",3153479,102268,13,141,261,644
1057,"Fayette, Alabama, US",364749,16302,1,6,16,67
1059,"Franklin, Alabama, US",985758,31362,4,100,576,863
1063,"Greene, Alabama, US",256197,8111,4,55,95,178
1065,"Hale, Alabama, US",306727,14651,1,52,178,296
1069,"Houston, Alabama, US",4923509,105882,9,93,223,446
1071,"Jackson, Alabama, US",1483373,51626,9,50,83,252
1073,"Jefferson, Alabama, US",46959136,658573,314,946,1882,4532
1075,"Lamar, Alabama, US",343597,13805,1,11,26,71
1077,"Lauderdale, Alabama, US",2810564,92729,14,56,167,457
1079,"Lawrence, Alabama, US",641615,32924,3,13,51,100
1081,"Lee, Alabama, US",6818940,164542,91,397,552,1245
1083,"Limestone, Alabama, US",3717509,98915,25,44,108,429
1085,"Lowndes, Alabama, US",440613,9726,2,70,255,458
1087,"Macon, Alabama, US",502444,18068,3,38,86,177
1089,"Madison, Alabama, US",23840513,372909,114,233,344,1104
1091,"Marengo, Alabama, US",746802,18863,5,56,174,299
1093,"Marion, Alabama, US",908475,29709,11,82,124,206
1095,"Marshall, Alabama, US",3403815,96774,6,334,705,1622
1097,"Mobile, Alabama, US",19930388,413210,67,1172,2283,3797
1099,"Monroe, Alabama, US",709333,20733,3,13,44,205
1101,"Montgomery, Alabama, US",14237190,226486,45,379,1802,3875
1103,"Morgan, Alabama, US",5631419,119679,21,73,297,1020
1107,"Pickens, Alabama, US",420382,19930,9,54,121,217
1109,"Pike, Alabama, US",1417893,33114,7,73,208,407
1111,"Randolph, Alabama, US",463437,22722,6,74,128,188
1113,"Russell, Alabama, US",1678883,57961,2,60,177,503
1115,"St. Clair, Alabama, US",1994734,89512,19,73,131,319
1117,"Shelby, Alabama, US",11594728,217702,98,324,522,1109
1119,"Sumter, Alabama, US",345945,12427,4,72,226,279
1121,"Talladega, Alabama, US",3170485,79978,8,64,117,282
1123,"Tallapoosa, Alabama, US",1347920,40367,17,290,431,572
1125,"Tuscaloosa, Alabama, US",9793605,209355,34,216,816,2107
1127,"Walker, Alabama, US",2279488,63521,34,97,378,871
1129,"Washington, Alabama, US",930752,16326,3,37,72,102
1131,"Wilcox, Alabama, US",423124,10373,5,71,152,284
1133,"Winston, Alabama, US",778730,23629,2,16,91,237
2020,"Anchorage,Alaska,US",22478485,288000,67,185,247,472
2090,"Fairbanks North Star,Alaska,US",6310217,96849,40,83,85,149
2110,"Juneau, Alaska, US",2523878,31974,10,27,33,44
2122,"Kenai Peninsula,Alaska,US",2992735,58708,8,21,54,155
2130,"Ketchikan Gateway, Alaska, US",927658,13901,14,16,16,22
2170,"Matanuska-Susitna,Alaska,US",2594409,108317,4,21,29,102
4001,"Apache, Arizona, US",2983095,71887,17,507,1569,2405
4003,"Cochise, Arizona, US",4910034,125922,4,39,89,678
4005,"Coconino, Arizona, US",7718197,143476,114,512,1173,1986
4007,"Gila, Arizona, US",2053238,54018,2,14,35,314
4009,"Graham, Arizona, US",1234253,38837,2,17,37,117
4011,"Greenlee, Arizona, US",1656478,9498,1,2,8,19
4012,"La Paz, Arizona, US",669904,21108,2,14,92,346
4013,"Maricopa, Arizona, US",247622633,4485414,961,4421,10536,54757
4015,"Mohave, Arizona, US",5689377,212181,8,127,409,1248
4017,"Navajo, Arizona, US",3824492,110924,129,766,1957,3744
4019,"Pima, Arizona, US",44876057,1047279,237,1300,2496,8577
4021,"Pinal, Arizona, US",7589136,462789,69,435,909,3908
4023,"Santa Cruz, Arizona, US",1916776,46498,3,34,365,1849
4025,"Yavapai, Arizona, US",7222136,235099,34,87,300,814
4027,"Yuma, Arizona, US",8331269,213787,13,89,1289,6683
5001,"Arkansas, Arkansas, US",1102976,17486,1,2,7,30
5003,"Ashley, Arkansas, US",1081422,19657,1,16,20,77
5005,"Baxter, Arkansas, US",1274823,41932,1,5,12,24
5007,"Benton, Arkansas, US",14336028,279141,40,112,676,2834
5009,"Boone, Arkansas, US",1300815,37432,1,4,6,28
5011,"Bradley, Arkansas, US",373396,10763,4,11,22,52
5015,"Carroll, Arkansas, US",858095,28380,1,6,29,172
5017,"Chicot, Arkansas, US",271412,10118,2,9,16,150
5019,"Clark, Arkansas, US",845261,22320,26,31,39,57
5023,"Cleburne, Arkansas, US",780221,24919,63,73,74,101
5025,"Cleveland, Arkansas, US",164527,7956,5,11,19,27
5027,"Columbia, Arkansas, US",895867,23457,1,13,22,84
5029,"Conway, Arkansas, US",840840,20846,1,13,14,61
5031,"Craighead, Arkansas, US",4547260,110332,12,81,249,458
5033,"Crawford, Arkansas, US",1755017,63257,1,5,31,190
